-10.9 -688.561 23.4105
-10.6 -633.375 21.5341
-10.3 -581.255 19.7607
-10. -531.991 18.0877
-9.7 -485.655 16.5119
-9.4 -442.104 15.0305
-9.1 -401.194 13.6406
-8.8 -362.928 12.3392
-8.5 -327.173 11.1235
-8.2 -293.839 9.99046
-7.9 -262.864 8.93723
-7.6 -234.145 7.96087
-7.3 -207.603 7.05847
-7. -183.165 6.2271
-6.7 -160.716 5.46385
-6.4 -140.174 4.76579
-6.1 -121.478 4.13001
-5.8 -104.52 3.55359
-5.5 -89.2312 3.03361
-5.2 -75.5113 2.56714
-4.9 -63.2759 2.15128
-4.6 -52.4448 1.7831
-4.3 -42.9337 1.45968
-4. -34.6521 1.1781
-3.7 -27.5137 0.935445
-3.4 -21.4369 0.728794
-3.1 -16.331 0.555228
-2.8 -12.1133 0.411827
-2.5 -8.69711 0.295673
-2.2 -5.99552 0.203845
-1.9 -3.92445 0.133425
-1.6 -2.39696 0.0814939
-1.3 -1.32749 0.0451319
-1. -0.630004 0.02142
-0.7 -0.218797 0.00743886
-0.4 -0.0079202 0.00026928
-0.1 0.088475 0.00300798
0.2 0.156244 0.00531216
0.5 0.281261 0.0095625
0.8 0.54936 0.0186782
1.1 1.04643 0.0355786
1.4 1.85833 0.0631829
1.7 3.07106 0.10441
2. 4.77003 0.16218
2.3 7.0419 0.239411
2.6 9.97218 0.339024
2.9 13.6453 0.463936
3.2 18.1499 0.617067
3.5 23.5695 0.801338
3.8 29.9904 1.01967
4.1 37.5014 1.27497
4.4 46.1854 1.57017
4.7 56.1251 1.90819
5. 67.4164 2.29194
5.3 80.129 2.72435
5.6 94.3673 3.20832
5.9 110.208 3.7468
6.2 127.737 4.34268
6.5 147.038 4.99889
6.8 168.191 5.71836
